bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]  sum  +=  Math.random();  [BUGGY]  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	sum  +=  Math.random();	sum  +=  Math.abs(a);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	13	2
3	[BUG]  [BUGGY]  return  Math.sqrt(sum  /  Math.sqrt(a))?  Math.sqrt(data):  Math.sqrt(sum);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  Math.sqrt(a))?  Math.sqrt(data):  Math.sqrt(sum);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(sum  /  Math.sqrt(a))?  Math.sqrt(data):  Math.sqrt(sum);	return  Math.sqrt(sum);  	non-compiled	[CE]  cannot  find  symbol  a	7	None	replace
4	[BUG]  [BUGGY]  return  Math.sqrt(sum  /  Math.sqrt(data));  [CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  [BUGGY]  return  Math.sqrt(sum  /  Math.sqrt(data));  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	703	703	2	replace	return  Math.sqrt(sum  /  Math.sqrt(data));	return  Math.sqrt(sum);  	non-compiled	[CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;	7	None	replace
31	[BUG]  [BUGGY]  return  sum  /(a  *  Math.sqrt(data))  /  2.0;  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  /(a  *  Math.sqrt(data))  /  2.0;  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  /(a  *  Math.sqrt(data))  /  2.0;	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
32	[BUG]  [BUGGY]  return  sum  /  Math.sqrt(a);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  /  Math.sqrt(a);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  /  Math.sqrt(a);	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
33	[BUG]  [BUGGY]  return  sum  /(a  *  Math.sqrt(data)*  getL1Norm()));  [CE]  ';'  expected  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  /(a  *  Math.sqrt(data)*  getL1Norm()));  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  /(a  *  Math.sqrt(data)*  getL1Norm()));	return  sum;  	non-compiled	[CE]  ';'  expected	15	None	replace
34	[BUG]  [BUGGY]  return  sum  /(a  *  Math.pow(Math.standard()));  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  /(a  *  Math.pow(Math.standard()));  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  /(a  *  Math.pow(Math.standard()));	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
61	[BUG]  [BUGGY]    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE;  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE;		non-compiled	[CE]  cannot  find  symbol  a	4	None	add
62	[BUG]  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [CE]  bad  operand  type  double[]  for  unary  operator  '-'  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    sum  +=  Math.pow(Math.exp(-data)/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);		non-compiled	[CE]  bad  operand  type  double[]  for  unary  operator  '-'	4	None	add
63	[BUG]  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [CE]  bad  operand  type  double[]  for  unary  operator  '-'  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE_MESSAGE);		non-compiled	[CE]  bad  operand  type  double[]  for  unary  operator  '-'	4	None	add
64	[BUG]  [BUGGY]    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [CE]  ';'  expected  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    sum  +=  Math.pow(data[a])/  NON_FITTING_POSITION_AND_SIZE_MESSAGE);		non-compiled	[CE]  ';'  expected	4	None	add
65	[BUG]  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE);  [CE]  bad  operand  type  double[]  for  unary  operator  '-'  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE);  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    sum  +=  Math.pow(Math.exp(-data)*  NON_FITTING_POSITION_AND_SIZE);		non-compiled	[CE]  bad  operand  type  double[]  for  unary  operator  '-'	4	None	add
91	[BUG]  [BUGGY]    double  out  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double  out  =  getDataItemCount();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double  out  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	20	None	add
92	[BUG]  [BUGGY]    double[]  data  =(double[])getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =(double[])getDataItemCount();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =(double[])getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	20	None	add
93	[BUG]  [BUGGY]    double  out  =  getImplicitReturn();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double  out  =  getImplicitReturn();  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double  out  =  getImplicitReturn();		non-compiled	[CE]  cannot  find  symbol	20	None	add
95	[BUG]  [BUGGY]    double[]  data  =  getDataItem(data);  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  double  max  =  0;  [BUGGY]    double[]  data  =  getDataItem(data);  [BUGGY]  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	720	720	2	replace	    double[]  data  =  getDataItem(data);		non-compiled	[CE]  cannot  find  symbol	20	None	add
122	[BUG]  [BUGGY]    sum  +=  DataUtilities.getL1Norm(a);  [CE]  cannot  find  symbol  DataUtilities  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  +=  DataUtilities.getL1Norm(a);  [BUGGY]  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	replace	    sum  +=  DataUtilities.getL1Norm(a);		non-compiled	[CE]  cannot  find  symbol  DataUtilities	14	None	add
123	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  -=  Math.sqrt(a);  [BUGGY]  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	    sum  -=  Math.sqrt(a);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	14	2
124	[BUG]  [BUGGY]    sum  -=  Math.sqrt(a);  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  -=  Math.sqrt(a);  [BUGGY]  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	replace	    sum  -=  Math.sqrt(a);		compilable	  [FE]  AssertionFailedError  testBasicFunctions	14	2	add
125	[BUG]  [BUGGY]  [FE]  StackOverflowError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  +=  Math.sqrt((  a  /  getL1Norm())*  data.length);  [BUGGY]  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	    sum  +=  Math.sqrt((  a  /  getL1Norm())*  data.length);		compilable	  [FE]  StackOverflowError  testBasicFunctions	14	2
126	[BUG]  [BUGGY]    sum  +=  Math.sqrt((  a  /  getL1Norm())*  data.length);  [FE]  StackOverflowError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]    sum  +=  Math.sqrt((  a  /  getL1Norm())*  data.length);  [BUGGY]  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	replace	    sum  +=  Math.sqrt((  a  /  getL1Norm())*  data.length);		compilable	  [FE]  StackOverflowError  testBasicFunctions	14	2	add
151	[BUG]  [BUGGY]    double  out  =  getNonConstructors().doubleValue();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  [BUGGY]    double  out  =  getNonConstructors().doubleValue();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	710	710	2	replace	    double  out  =  getNonConstructors().doubleValue();		non-compiled	[CE]  cannot  find  symbol	12	None	add
152	[BUG]  [BUGGY]    sum  +=  Math.sqrt(getL1());  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  [BUGGY]    sum  +=  Math.sqrt(getL1());  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	710	710	2	replace	    sum  +=  Math.sqrt(getL1());		non-compiled	[CE]  cannot  find  symbol	12	None	add
153	[BUG]  [BUGGY]    double  out  =  data.length  *  getL1();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  [BUGGY]    double  out  =  data.length  *  getL1();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	710	710	2	replace	    double  out  =  data.length  *  getL1();		non-compiled	[CE]  cannot  find  symbol	12	None	add
154	[BUG]  [BUGGY]    double  out  =  getL1();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  [BUGGY]    double  out  =  getL1();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	710	710	2	replace	    double  out  =  getL1();		non-compiled	[CE]  cannot  find  symbol	12	None	add
155	[BUG]  [BUGGY]    double  out  =  data.length  *  getL1Message();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  [BUGGY]    double  out  =  data.length  *  getL1Message();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	710	710	2	replace	    double  out  =  data.length  *  getL1Message();		non-compiled	[CE]  cannot  find  symbol	12	None	add
182	[BUG]  [BUGGY]    sum  -=  Math.sqrt(data[a]);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]    sum  -=  Math.sqrt(data[a]);  [BUGGY]  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	    sum  -=  Math.sqrt(data[a]);		non-compiled	[CE]  cannot  find  symbol  a	16	None	add
183	[BUG]  [BUGGY]    sum  +=  Math.sqrt(data);  [CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]    sum  +=  Math.sqrt(data);  [BUGGY]  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	    sum  +=  Math.sqrt(data);		non-compiled	[CE]  method  sqrt  in  class  Math  cannot  be  applied  to  given  types;	16	None	add
184	[BUG]  [BUGGY]    sum  +=  Math.sqrt(data[a]);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]    sum  +=  Math.sqrt(data[a]);  [BUGGY]  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	    sum  +=  Math.sqrt(data[a]);		non-compiled	[CE]  cannot  find  symbol  a	16	None	add
185	[BUG]  [BUGGY]    sum  -=  Math.sqrt(data,  a);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]    sum  -=  Math.sqrt(data,  a);  [BUGGY]  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	    sum  -=  Math.sqrt(data,  a);		non-compiled	[CE]  cannot  find  symbol  a	16	None	add
213	[BUG]  [BUGGY]  for(double  a  :  data[a])  {  [CE]  possible  loss  of  precision  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  data[a])  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	for(double  a  :  data[a])  {	for  (double  a  :  data)  {  	non-compiled	[CE]  possible  loss  of  precision	3	None	replace
214	[BUG]  [BUGGY]  for(double  a  :  data.length,  a)  {  [CE]  ')'  expected  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]  for(double  a  :  data.length,  a)  {  [BUGGY]  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	for(double  a  :  data.length,  a)  {	for  (double  a  :  data)  {  	non-compiled	[CE]  ')'  expected	3	None	replace
