bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]    parseAndIgnoreWhitespace(source,  pos);  [BUGGY]  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	add	    parseAndIgnoreWhitespace(source,  pos);		compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	12	2
191	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    pos.setErrorIndex(n);  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	add	    pos.setErrorIndex(n);		compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	20	2
192	[BUG]  [BUGGY]    pos.setErrorIndex(n);  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    pos.setErrorIndex(n);  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	    pos.setErrorIndex(n);		compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	20	2	add
192	[BUG]  [BUGGY]    int  startIndex  =  pos.getIndex();  [CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    int  startIndex  =  pos.getIndex();  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	    int  startIndex  =  pos.getIndex();		non-compiled	[CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)	20	None	add
193	[BUG]  [BUGGY]    int  n  =  getRealFormat().charAt(0);  [CE]  variable  n  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    int  n  =  getRealFormat().charAt(0);  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	    int  n  =  getRealFormat().charAt(0);		non-compiled	[CE]  variable  n  is  already  defined  in  method  parse(String,ParsePosition)	20	None	add
194	[BUG]  [BUGGY]    int  sign  =  pos.getIndex();  [CE]  variable  sign  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    int  sign  =  pos.getIndex();  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	    int  sign  =  pos.getIndex();		non-compiled	[CE]  variable  sign  is  already  defined  in  method  parse(String,ParsePosition)	20	None	add
195	[BUG]  [BUGGY]    pos.setErrorIndex(n);  return  null;  [CE]  unreachable  statement  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]    pos.setErrorIndex(n);  return  null;  [BUGGY]  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	    pos.setErrorIndex(n);  return  null;		non-compiled	[CE]  unreachable  statement	20	None	add
2	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getDefaultNumberFormat());  [CE]  cannot  find  symbol  DEFAULT_FIELD_NAMES  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getDefaultNumberFormat());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getDefaultNumberFormat());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  find  symbol  DEFAULT_FIELD_NAMES	5	None	replace
4	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getImaginaryCharacter());  [CE]  cannot  find  symbol  DEFAULT_FIELD_NAMES  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getImaginaryCharacter());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  DEFAULT_FIELD_NAMES,  getImaginaryCharacter());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  find  symbol  DEFAULT_FIELD_NAMES	5	None	replace
21	[BUG]  [BUGGY]  Number  im  =  parseNumber(source,  getImaginaryCharacter(),  pos);  [CE]  no  suitable  method  found  for  parseNumber(String,String,ParsePosition)  [CONTEXT]    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  parseAndIgnoreWhitespace(source,  pos);    [BUGGY]  Number  im  =  parseNumber(source,  getImaginaryCharacter(),  pos);  [BUGGY]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	364	364	2	replace	Number  im  =  parseNumber(source,  getImaginaryCharacter(),  pos);	Number  im  =  parseNumber(source,  getRealFormat(),  pos);  	non-compiled	[CE]  no  suitable  method  found  for  parseNumber(String,String,ParsePosition)	13	None	replace
24	[BUG]  [BUGGY]  Number  im  =  parseNumber(source,  getImaginaryParameter(),  pos);  [CE]  cannot  find  symbol  [CONTEXT]    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  parseAndIgnoreWhitespace(source,  pos);    [BUGGY]  Number  im  =  parseNumber(source,  getImaginaryParameter(),  pos);  [BUGGY]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	364	364	2	replace	Number  im  =  parseNumber(source,  getImaginaryParameter(),  pos);	Number  im  =  parseNumber(source,  getRealFormat(),  pos);  	non-compiled	[CE]  cannot  find  symbol	13	None	replace
43	[BUG]  [BUGGY]    ParsePosition  pos  =  parse(source,  getImaginaryCharacter());  [CE]  variable  pos  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]    ParsePosition  pos  =  parse(source,  getImaginaryCharacter());  [BUGGY]  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	replace	    ParsePosition  pos  =  parse(source,  getImaginaryCharacter());		non-compiled	[CE]  variable  pos  is  already  defined  in  method  parse(String,ParsePosition)	12	None	add
44	[BUG]  [BUGGY]    ParsePosition  pos  =  parse(source,  getImaginaryCharacter(),  pos);  [CE]  variable  pos  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]    ParsePosition  pos  =  parse(source,  getImaginaryCharacter(),  pos);  [BUGGY]  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	replace	    ParsePosition  pos  =  parse(source,  getImaginaryCharacter(),  pos);		non-compiled	[CE]  variable  pos  is  already  defined  in  method  parse(String,ParsePosition)	12	None	add
45	[BUG]  [BUGGY]    parseAndIgnoreWhitespace(source,  getImaginaryCharacter(),  pos);  [CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]    parseAndIgnoreWhitespace(source,  getImaginaryCharacter(),  pos);  [BUGGY]  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	replace	    parseAndIgnoreWhitespace(source,  getImaginaryCharacter(),  pos);		non-compiled	[CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;	12	None	add
83	[BUG]  [BUGGY]  if(im  ==  null  ||  im.isNumber())  {  [CE]  cannot  find  symbol  [CONTEXT]  pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  [BUGGY]  if(im  ==  null  ||  im.isNumber())  {  [BUGGY]      pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  startIndex  =  pos.getIndex();  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	365	365	2	replace	if(im  ==  null  ||  im.isNumber())  {	if  (im  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol	15	None	replace
84	[BUG]  [BUGGY]  if(im  ==  null  ||!re.isNumber())  {  [CE]  cannot  find  symbol  [CONTEXT]  pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  [BUGGY]  if(im  ==  null  ||!re.isNumber())  {  [BUGGY]      pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  startIndex  =  pos.getIndex();  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	365	365	2	replace	if(im  ==  null  ||!re.isNumber())  {	if  (im  ==  null)  {  	non-compiled	[CE]  cannot  find  symbol	15	None	replace
105	[BUG]  [BUGGY]    int  startIndex  =  parseIntPrimitive(source,  pos);  [CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }    [BUGGY]    int  startIndex  =  parseIntPrimitive(source,  pos);  [BUGGY]  int  n  =  getImaginaryCharacter().length();  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	374	374	2	replace	    int  startIndex  =  parseIntPrimitive(source,  pos);		non-compiled	[CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)	18	None	add
124	[BUG]  [BUGGY]  startIndex  =  pos.indexOf(n);  [CE]  cannot  find  symbol  [CONTEXT]  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  int  n  =  getImaginaryCharacter().length();  [BUGGY]  startIndex  =  pos.indexOf(n);  [BUGGY]  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	375	375	2	replace	startIndex  =  pos.indexOf(n);	startIndex  =  pos.getIndex();  	non-compiled	[CE]  cannot  find  symbol	19	None	replace
144	[BUG]  [BUGGY]    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);  pos.setIndex(initialIndex);  [CE]  cannot  find  symbol  endIndex  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);  pos.setIndex(initialIndex);  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);  pos.setIndex(initialIndex);		non-compiled	[CE]  cannot  find  symbol  endIndex	4	None	add
145	[BUG]  [BUGGY]    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);  [CE]  cannot  find  symbol  endIndex  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	    parseAndIgnoreWhitespace(source,  startIndex,  endIndex);		non-compiled	[CE]  cannot  find  symbol  endIndex	4	None	add
162	[BUG]  [BUGGY]  parseAndIgnoreWhitespace(source,  pos,  startIndex);  [CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]  parseAndIgnoreWhitespace(source,  pos,  startIndex);  [BUGGY]    Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	replace	parseAndIgnoreWhitespace(source,  pos,  startIndex);	parseAndIgnoreWhitespace(source,  pos);  	non-compiled	[CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;	11	None	replace
164	[BUG]  [BUGGY]  parseAndIgnoreWhitespace(source,  startIndex);  [CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]  parseAndIgnoreWhitespace(source,  startIndex);  [BUGGY]    Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	replace	parseAndIgnoreWhitespace(source,  startIndex);	parseAndIgnoreWhitespace(source,  pos);  	non-compiled	[CE]  method  parseAndIgnoreWhitespace  in  class  ComplexFormat  cannot  be  applied  to  given  types;	11	None	replace
183	[BUG]  [BUGGY]  return  getDefaultNumberFormat(Locale.getDefault()  -  1);  [CE]  bad  operand  types  for  binary  operator  '-'  [CONTEXT]  private  static  NumberFormat  getDefaultNumberFormat()  {  [BUGGY]  return  getDefaultNumberFormat(Locale.getDefault()  -  1);  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  getDefaultNumberFormat  [RETURN_TYPE]  NumberFormat  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  format  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	237	237	2	replace	return  getDefaultNumberFormat(Locale.getDefault()  -  1);	return  getDefaultNumberFormat(Locale.getDefault());  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '-'	9	None	replace
184	[BUG]  [BUGGY]  return  getDefaultNumberFormat(Locale.getDefault()  +  1);  [CE]  bad  operand  types  for  binary  operator  '+'  [CONTEXT]  private  static  NumberFormat  getDefaultNumberFormat()  {  [BUGGY]  return  getDefaultNumberFormat(Locale.getDefault()  +  1);  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  getDefaultNumberFormat  [RETURN_TYPE]  NumberFormat  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  format  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	237	237	2	replace	return  getDefaultNumberFormat(Locale.getDefault()  +  1);	return  getDefaultNumberFormat(Locale.getDefault());  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '+'	9	None	replace
