bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
1	[BUG]  [BUGGY]    addOption(group);  [CE]  no  suitable  method  found  for  addOption(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    addOption(group);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    addOption(group);		non-compiled	[CE]  no  suitable  method  found  for  addOption(OptionGroup)	13	None	add
23	[BUG]  [BUGGY]  requiredOpts.put(group,  new  Option(group));  [CE]  no  suitable  constructor  found  for  Option(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  requiredOpts.put(group,  new  Option(group));  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	requiredOpts.put(group,  new  Option(group));	requiredOpts.add(group);  	non-compiled	[CE]  no  suitable  constructor  found  for  Option(OptionGroup)	12	None	replace
24	[BUG]  [BUGGY]  neededOpts.add(group);  [CE]  cannot  find  symbol  neededOpts  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]  neededOpts.add(group);  [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	neededOpts.add(group);	requiredOpts.add(group);  	non-compiled	[CE]  cannot  find  symbol  neededOpts	12	None	replace
42	[BUG]  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  addOption(option);  }  [CE]  ';'  expected  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  addOption(option);  }  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    if(group.isRequired())  {  for(Option  option  :  group.getOptions())  {  addOption(option);  }		non-compiled	[CE]  ';'  expected	15	None	add
43	[BUG]  [BUGGY]    addOption(group);  [CE]  no  suitable  method  found  for  addOption(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    addOption(group);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    addOption(group);		non-compiled	[CE]  no  suitable  method  found  for  addOption(OptionGroup)	15	None	add
44	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	add	    if(group.isRequired())  {  requiredOpts.remove(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1
45	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    if(group.isRequired())  {  requiredOpts.remove(group);  }  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    if(group.isRequired())  {  requiredOpts.remove(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1	add
45	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	add	    if(group.isRequired())  {  requiredOpts.add(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1
46	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    if(group.isRequired())  {  requiredOpts.add(group);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1	add
62	[BUG]  [BUGGY]    protected  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [CE]  variable  optionGroups  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    protected  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    protected  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>();		non-compiled	[CE]  variable  optionGroups  is  already  defined  in  class  Options	9	None	add
64	[BUG]  [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups.size());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  HashMap  <  String,  OptionGroup>(optionGroups.size());  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    return  new  HashMap  <  String,  OptionGroup>(optionGroups.size());		non-compiled	[CE]  illegal  start  of  type	9	None	add
65	[BUG]  [BUGGY]    private  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>(optionGroups.size());  [CE]  variable  optionGroups  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>(optionGroups.size());  [BUGGY]  private  final  Map<String,  OptionGroup>  optionGroups  =  new  HashMap<String,  OptionGroup>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	61	61	1	replace	    private  final  Map  <  String,  OptionGroup>  optionGroups  =  new  HashMap  <  String,  OptionGroup>(optionGroups.size());		non-compiled	[CE]  variable  optionGroups  is  already  defined  in  class  Options	9	None	add
82	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setRequired(false);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    option.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
83	[BUG]  [BUGGY]    option.setRequired(false);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setRequired(false);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    option.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
83	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    option.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
84	[BUG]  [BUGGY]    option.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    option.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
84	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    if(group.isRequired())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
85	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    if(group.isRequired())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
102	[BUG]  [BUGGY]  optionsGroups.put(option.getKey(),  group);  [CE]  cannot  find  symbol  optionsGroups  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionsGroups.put(option.getKey(),  group);  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionsGroups.put(option.getKey(),  group);	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  cannot  find  symbol  optionsGroups	20	None	replace
103	[BUG]  [BUGGY]  optionGroups.put(option.getKey(),  this);  [CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  optionGroups.put(option.getKey(),  this);  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	optionGroups.put(option.getKey(),  this);	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  method  put  in  interface  Map<K,V>  cannot  be  applied  to  given  types;	20	None	replace
104	[BUG]  [BUGGY]  OptionGroups.put(option.getKey(),  group);  [CE]  cannot  find  symbol  OptionGroups  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]  OptionGroups.put(option.getKey(),  group);  [BUGGY]  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	OptionGroups.put(option.getKey(),  group);	optionGroups.put(option.getKey(),  group);  	non-compiled	[CE]  cannot  find  symbol  OptionGroups	20	None	replace
122	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    if(group.isRequired())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
123	[BUG]  [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(group.isRequired())  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    if(group.isRequired())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
143	[BUG]  [BUGGY]  for(Option  option  :  group.options())  {  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  group.options())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  group.options())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  cannot  find  symbol	14	None	replace
144	[BUG]  [BUGGY]  for(Option  option  :  group.isRequired())  {  [CE]  for-each  not  applicable  to  expression  type  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  group.isRequired())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  group.isRequired())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  for-each  not  applicable  to  expression  type	14	None	replace
163	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  LinkedList  <  String,  Option>();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  LinkedList  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	private  final  Map  <  String,  Option>  longOpts  =  new  LinkedList  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  cannot  find  symbol	4	None	replace
164	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  ArrayList  <  String,  Option>();  [CE]  wrong  number  of  type  arguments;  required  1  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  longOpts  =  new  ArrayList  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	private  final  Map  <  String,  Option>  longOpts  =  new  ArrayList  <  String,  Option>();	private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  wrong  number  of  type  arguments;  required  1	4	None	replace
203	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedList  <  String,  Option>();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedList  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	private  final  Map  <  String,  Option>  shortOpts  =  new  LinkedList  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  cannot  find  symbol	2	None	replace
204	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  ArrayList  <  String,  Option>();  [CE]  wrong  number  of  type  arguments;  required  1  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  ArrayList  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	private  final  Map  <  String,  Option>  shortOpts  =  new  ArrayList  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  wrong  number  of  type  arguments;  required  1	2	None	replace
242	[BUG]  [BUGGY]    private  final  ArrayList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [CE]  variable  requiredOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  ArrayList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  ArrayList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();		non-compiled	[CE]  variable  requiredOpts  is  already  defined  in  class  Options	7	None	add
243	[BUG]  [BUGGY]    private  final  List  <  Object>  requiredOpts  =  Lists.newArrayList();  [CE]  variable  requiredOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  List  <  Object>  requiredOpts  =  Lists.newArrayList();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  List  <  Object>  requiredOpts  =  Lists.newArrayList();		non-compiled	[CE]  variable  requiredOpts  is  already  defined  in  class  Options	7	None	add
244	[BUG]  [BUGGY]    private  final  ArrayList  <  Object>  requiredOpts  =  Lists.newArrayList();  [CE]  variable  requiredOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  ArrayList  <  Object>  requiredOpts  =  Lists.newArrayList();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  ArrayList  <  Object>  requiredOpts  =  Lists.newArrayList();		non-compiled	[CE]  variable  requiredOpts  is  already  defined  in  class  Options	7	None	add
245	[BUG]  [BUGGY]    private  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(size());  [CE]  variable  requiredOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(size());  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  List  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(size());		non-compiled	[CE]  variable  requiredOpts  is  already  defined  in  class  Options	7	None	add
264	[BUG]  [BUGGY]  setRequired(true);  [CE]  cannot  find  symbol  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]  setRequired(true);  [BUGGY]    optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	setRequired(true);	addOption(option);  	non-compiled	[CE]  cannot  find  symbol	18	None	replace
