bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
302	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1e-6);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	add	super(100,  1e-6);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1
303	[BUG]  [BUGGY]  super(100,  1e-6);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1e-6);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	super(100,  1e-6);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1	replace
304	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1E-5);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	add	super(100,  1E-5);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1
305	[BUG]  [BUGGY]  super(100,  1E-5);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  super(100,  1E-5);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	super(100,  1E-5);	super(100,  1E-6);  	compilable	  [FE]  NullPointerException  testMath369	17	1	replace
323	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  initial);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	return  solve(min,  initial);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1
324	[BUG]  [BUGGY]  return  solve(min,  initial);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  initial);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(min,  initial);	return  solve(min,  max);  	compilable	  [FE]  NullPointerException  testMath369	1	1	replace
324	[BUG]  [BUGGY]  [FE]  MathRuntimeException$4  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  max  -  1);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	return  solve(min,  max  -  1);	return  solve(min,  max);  	compilable	  [FE]  MathRuntimeException$4  testMath369	1	1
325	[BUG]  [BUGGY]  return  solve(min,  max  -  1);  [FE]  MathRuntimeException$4  testMath369  [CONTEXT]    [BUGGY]  return  solve(min,  max  -  1);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	return  solve(min,  max  -  1);	return  solve(min,  max);  	compilable	  [FE]  MathRuntimeException$4  testMath369	1	1	replace
361	[BUG]  [BUGGY]    Preconditions.checkNotNull(super);  [CE]  '.'  expected  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(super);  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(super);		non-compiled	[CE]  '.'  expected	18	None	add
363	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.create());  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.create());  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(BisectionSolver.create());		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
364	[BUG]  [BUGGY]    Preconditions.checkNotNull(super());  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(super());  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(super());		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
365	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.instance);  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.instance);  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(BisectionSolver.instance);		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
383	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  while(max  <  maximalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	add	while(max  <  maximalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	compilable	  [FE]  NullPointerException  testMath369	11	1
384	[BUG]  [BUGGY]  while(max  <  maximalIterationCount)  {  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  while(max  <  maximalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	while(max  <  maximalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	compilable	  [FE]  NullPointerException  testMath369	11	1	replace
384	[BUG]  [BUGGY]  while(m  >  maximalIterationCount)  {  [CE]  variable  m  might  not  have  been  initialized  [CONTEXT]    [BUGGY]  while(m  >  maximalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	while(m  >  maximalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	non-compiled	[CE]  variable  m  might  not  have  been  initialized	11	None	replace
32	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    clearResult();  verifyInterval(min,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1
33	[BUG]  [BUGGY]    clearResult();  verifyInterval(min,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    clearResult();  verifyInterval(min,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
34	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    solve(min,  initial);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    solve(min,  initial);		compilable	  [FE]  NullPointerException  testMath369	2	1
35	[BUG]  [BUGGY]    solve(min,  initial);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    solve(min,  initial);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    solve(min,  initial);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
35	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,  initial);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    clearResult();  verifyInterval(min,  initial);		compilable	  [FE]  NullPointerException  testMath369	2	1
36	[BUG]  [BUGGY]    clearResult();  verifyInterval(min,  initial);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,  initial);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    clearResult();  verifyInterval(min,  initial);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
63	[BUG]  [BUGGY]    double  min  =  Math.min(min,  Math.max(min,  max),  0);  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  Math.max(min,  max),  0);  solve(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.min(min,  Math.max(min,  max),  0);  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
64	[BUG]  [BUGGY]    double  min  =  Math.max(min,  max);  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.max(min,  max);  solve(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.max(min,  max);  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
65	[BUG]  [BUGGY]    double  min  =  Math.min(min,  Math.max(min,  max),  0.0);  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  Math.max(min,  max),  0.0);  solve(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.min(min,  Math.max(min,  max),  0.0);  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
93	[BUG]  [BUGGY]  while(i  <  minimalIterationCount)  {  [CE]  cannot  find  symbol  minimalIterationCount  [CONTEXT]    [BUGGY]  while(i  <  minimalIterationCount)  {  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	while(i  <  minimalIterationCount)  {	while  (i  <  maximalIterationCount)  {  	non-compiled	[CE]  cannot  find  symbol  minimalIterationCount	11	None	replace
122	[BUG]  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min);  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min);  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min);	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  ';'  expected	13	None	replace
123	[BUG]  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min  +  1;  [CE]  ';'  expected  [CONTEXT]    [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min  +  1;  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	m  =  UnivariateRealSolverUtils.midpoint(min,  max),  min  +  1;	m  =  UnivariateRealSolverUtils.midpoint(min,  max);  	non-compiled	[CE]  ';'  expected	13	None	replace
155	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.value(max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.value(max);  [BUGGY]  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	87	87	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  max  =  UnivariateRealSolverUtils.value(max);		non-compiled	[CE]  cannot  find  symbol	14	None	add
181	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +		non-compiled	[CE]  ')'  expected	16	None	add
182	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min);  }  [CE]  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min);  }  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min);  }		non-compiled	[CE]  	16	None	add
183	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ ", "  +		non-compiled	[CE]  ')'  expected	16	None	add
184	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(x)+ ", "  +  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(x)+ ", "  +  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  throw  new  IllegalStateException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(x)+ ", "  +		non-compiled	[CE]  ')'  expected	16	None	add
185	[BUG]  [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ "  value  [CE]  unclosed  string  literal  [CONTEXT]    [BUGGY]    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ "  value  [BUGGY]  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	88	88	1	replace	    if(f.value(max)  ==  0.0)  {  throw  new  IllegalArgumentException( "Function  values  at  endpoints  do  not  have  different  signs. "  + "  Endpoints:  [ "  +  f.value(max)+ "  Values:  [ "  +  f.value(min)+ "  value		non-compiled	[CE]  unclosed  string  literal	16	None	add
211	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);  [CE]  cannot  find  symbol  m  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  m  =  UnivariateRealSolverUtils.midpoint(min,max);		non-compiled	[CE]  cannot  find  symbol  m	8	None	add
212	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	add	    clearResult();  verifyInterval(min,max);		compilable	  [FE]  NullPointerException  testMath369	8	1
213	[BUG]  [BUGGY]    clearResult();  verifyInterval(min,max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    clearResult();  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    clearResult();  verifyInterval(min,max);		compilable	  [FE]  NullPointerException  testMath369	8	1	add
215	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;  [CE]  ')'  expected  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	80	80	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,max);  max  =  Math.max(max;		non-compiled	[CE]  ')'  expected	8	None	add
273	[BUG]  [BUGGY]    int  i  =  minimalIterationCount  *  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  i  =  minimalIterationCount  *  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    int  i  =  minimalIterationCount  *  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	12	None	add
